Parameter,Value,Units,Comment
Km_APP_C83,2578.063,ng/mL,
Km_APP_C99,22731.31,ng/mL,
Km_C83_p3,399184,ng/mL,
Km_C99_Abeta,12682.41,ng/mL,
Km_C99_C83,931.4293,ng/mL,
Q_CSF,17.39500698,mL/h,
Q_LP,var,mL/h,
Q_SN,var,,
Q_glymph,Q_CSF,mL/h,
Q_osc,6.164068217,mL/h,
Q_refill,var,mL/h,
V_BrainISF,62.02587358,mL,
V_CV,57.52333365,mL,
V_Exchange,1,mL,
V_LumbarDrain,1,mL,
V_Lymph,1,mL,
V_SAS,143.0255654,mL,
V_SP1,21.53251824,mL,
V_SP2,23.59560259,mL,
V_SP3,var,mL,
Vm_APP_C83,392228.7,ng/mL h,
Vm_APP_C99,54555.45,ng/mL h,
Vm_C83_p3,5205945,ng/mL h,
Vm_C99_C83,7951.546377,ng/mL h,
f_13C6Leu,0,,
k_APP,1846.968337,ng/h,
k_BPD_AB38,0.285454706,1/h,
k_BPD_AB40,0.300801698,1/h,
k_BPD_AB42,1.172563599,1/h,
k_ex_AB38,0,1/h,
k_ex_AB40,0,1/h,
k_ex_AB42,0.328984315,1/h,
k_gammasec_AB38,131757.2234,1/h,
k_gammasec_AB40,609798,1/h,
k_gammasec_AB42,166868.7542,1/h,
k_ret_AB38,0.1,1/h,
k_ret_AB40,0.1,1/h,
k_ret_AB42,0.1,1/h,
