time,PlasmaLeu,Abconc,Abconc_pred,AB38_MFL,AB38_MFL_pred,AB40_MFL,AB40_MFL_pred,AB42_MFL,AB42_MFL_pred
0,0.1672,1,1,2.4999937500155233e-6,0,0.000259932,0,-2.00E-05,0
1,0.1672,0.99873928,1.000496161539489,-0.000197539,2.7993202292712433e-6,-0.000180032,2.6610914383840984e-6,7.999360051195903e-5,6.4820815214868275e-6
2,0.1575,0.979240893,1.0017843358487473,-5.75E-05,0.000109637,1.9999600007999895e-5,0.000103998,-0.000150023,0.000220351
3,0.1676,1.0149892399452394,1.0073620814861102,0.000252436,0.000745826,-0.00010001,0.000705958,8.999190072893442e-5,0.001324898
4,0.1743,1.0119086258892087,1.0130703153895713,0.000781888,0.001566906,0.000439806,0.001481417,-0.000740548,0.002617161
5,0.148,1.0491647207412063,1.0208593209950667,0.001400536,0.002847329,0.001018961,0.002688356,0.002404206,0.004460651
6,0.1731,1.0656261613147344,1.0321838772092375,0.004601231,0.004829635,0.003527513,0.004552715,0.004509572,0.00706174
7,0.1634,1.0958437598150261,1.043079133182995,0.007811008,0.007665492,0.006773803,0.007214042,0.009793146,0.010490860227500598
8,0.1745,1.104606671766967,1.0550550878292422,0.009138223,0.011378875033937367,0.00976373,0.010691700309817247,0.013086473363203916,0.014677134300569886
9,0.1778,1.0776540652783555,1.0672122296258546,0.017191773,0.015904466,0.016860836651428013,0.014921775,0.01871314,0.019485029350502215
10,0.0478,1.0794868589165907,1.0792073961945032,0.021930758,0.021131181189373658,0.022578438080344054,0.019798324969062843,0.024180799781416497,0.024767515827143986
11,0.0241,1.0939620661100333,1.0916170791316817,0.028005588967863437,0.026927742758416626,0.027407652356591258,0.025197389034895042,0.029907938,0.030383457
12,0.0148,1.1232844476121067,1.1013478587774332,0.032304108,0.0331264,0.030979582739808324,0.030961280530622082,0.035205357,0.036145186
13,0.0135,1.093090668124892,1.1103625223460565,0.036713266,0.039484109,0.034935341,0.036861806209557604,0.043885648723587335,0.041763810595042423
14,0.013680249,1.0963026619871317,1.120495616139796,0.044764714,0.045678054,0.042182291866212016,0.042596762,0.049185627489945136,0.04689426
15,0.01322958,1.1370083903177726,1.1293937554270124,0.052314603121201855,0.051401759202490356,0.047074519,0.047880364,0.054042549166138515,0.051264208
16,0.012793759,1.1475704886193447,1.1371731975414379,0.058506745,0.056402285711038336,0.051206391,0.052478361,0.055962540593610756,0.054707985
17,0.012372294,1.1524025635383206,1.142747694,0.059171083,0.060523273,0.055159772,0.056247664365811884,0.057350778628256854,0.057177142
18,0.011964714,1.170028989148766,1.1478107497868646,0.064600994,0.063675163,0.057137469,0.059108473,0.059505112,0.058695154346397105
19,0.011570561,1.1006562229965888,1.1518231177900826,0.063558618,0.065851157,0.059982516,0.061058224,0.057839248532584625,0.05934797
20,0.011189392,1.101020073909946,1.1554699211322683,0.065291711,0.067108232,0.064248685,0.062153198,0.056710561,0.059254003
21,0.01082078,1.130196924519657,1.1620484779925728,0.063786562,0.067367191,0.063381007,0.062263355,0.055998187516520026,0.05753662
22,0.010464311,1.0684435948401538,1.1701163791842406,0.063032168,0.065694891,0.065123497,0.060586791,0.052958557,0.054440139
23,0.010119586,1.0458560571823943,1.1797618091794728,0.062171027,0.062849721,0.061297287,0.057843122,0.049664532,0.050770951538489616
24,0.009786216,1.0564930349183819,1.1933001397090361,0.061228992,0.05936386,0.057395205912017265,0.054529202815178916,0.046611179,0.04696931
25,0.009463829,1.0823824922881573,1.2105777483508928,0.058018966788103726,0.05558301,0.053577006,0.050963962,0.045154637,0.043261563
26,0.009152063,1.0577511778251671,1.2328165201451757,0.056721683,0.051747244,0.04961034,0.047366961,0.042668274983964694,0.039775429
27,0.008850566,1.2425511561808478,1.2585184985919249,0.054733304817788035,0.048015134591171356,0.042741588,0.043881832,0.037600932,0.036574539
28,0.008559002,1.3256398080369771,1.287155733331634,0.047875215,0.044483396,0.041806004043578655,0.040595018,0.034245649,0.033681028
29,0.008277043,1.3239740016414967,1.3175669664944498,0.041569525744640574,0.041202671,0.03929292,0.037550624137062845,0.032891364686995286,0.031090226
30,0.008004373,1.3528081214366807,1.350429375611667,0.039784143,0.038194054,0.035233281,0.034765801757143056,0.031523897147837876,0.028783695282594047
31,0.007740685,1.3950886556491144,1.3688954114220606,0.033538625836895146,0.036653648,0.032198747665179474,0.033342538,0.030020854551627136,0.027625120439884316
32,0.007485684,1.4240935529266152,1.3842014895500399,0.032613033120911274,0.035286591,0.032076969,0.032081122,0.027057530088245883,0.026610122496005396
33,0.007239083,1.455999860346089,1.3985164318431704,0.031235393,0.033996228,0.030979582739808324,0.030892233247720544,0.0234375,0.025664542134086695
34,0.007000606,1.4456412270182653,1.4110831009192313,0.031591893,0.032739892,0.029135639,0.029736391,0.023590064052491796,0.024754396256528963
35,0.006769985,1.4548541103677652,1.4204249449378035,0.028024484063246445,0.031506024013930524,0.028267692815983052,0.028602775,0.022301307183152298,0.023868457
36,0.006546962,1.4068149890944763,1.426838630074144,0.025162980564186924,0.030291174985341094,0.023837878994943478,0.027488029682861587,0.021468970781063464,0.023001628685677546
37,0.006331285,,,,,,,,
38,0.006122714,,,,,,,,
39,0.005921014,,,,,,,,
40,0.005725958,,,,,,,,
41,0.005537328,,,,,,,,
42,0.005354912,1.4498330629875213,1.410895297710908,0.022475726850392355,0.023491287879049763,0.019011556043869806,0.02127016,0.017411468773336478,0.018169592
43,0.005178505,,,,,,,,
44,0.005007909,,,,,,,,
45,0.004842934,,,,,,,,
46,0.004683393,,,,,,,,
47,0.004529108,,,,,,,,
48,0.004379906,1.2525206431740366,1.3479386556414061,0.016108759337742806,0.017703537061027643,0.015244022531216766,0.016002560868377754,0.014972419227738374,0.013998337145665401
